,year,month,time,time(not stupid format),gasprice
644,13,,2002.5,7/1/2002,161.7
645,13,,2002.519231,7/8/2002,164.1
646,13,,2002.538462,7/15/2002,166.3
647,13,,2002.557692,7/22/2002,167.3
648,13,,2002.576923,7/29/2002,162.6
649,13,,2002.596154,8/5/2002,157.7
650,13,,2002.615385,8/12/2002,155.7
651,13,,2002.634615,8/19/2002,152.1
652,13,,2002.653846,8/26/2002,150.4
653,13,,2002.673077,9/2/2002,148.6
654,13,,2002.692308,9/9/2002,144.1
655,13,,2002.711538,9/16/2002,142.7
656,13,,2002.730769,9/23/2002,144.4
657,13,,2002.75,9/30/2002,143.9
658,13,,2002.769231,10/7/2002,142.8
659,13,,2002.788462,10/14/2002,145.6
660,13,,2002.807692,10/21/2002,148
661,13,,2002.826923,10/28/2002,145.1
662,13,,2002.846154,11/4/2002,144.3
663,13,,2002.865385,11/11/2002,144.8
664,13,,2002.884615,11/18/2002,148.9
665,13,,2002.903846,11/25/2002,149.6
666,13,,2002.923077,12/2/2002,148.8
667,13,,2002.942308,12/9/2002,151.6
668,13,,2002.961538,12/16/2002,155
669,13,,2002.980769,12/23/2002,159.4
670,13,,2003,12/31/2002,169.3
671,14,,2003.019231,1/7/2003,168.8
672,14,,2003.038462,1/14/2003,165.3
673,14,,2003.057692,1/21/2003,163.6
674,14,,2003.076923,1/28/2003,158
675,14,,2003.096154,2/4/2003,152.4
676,14,,2003.115385,2/11/2003,151.1
677,14,,2003.134615,2/18/2003,151.5
678,14,,2003.153846,2/25/2003,152.7
679,14,,2003.173077,3/4/2003,149.9
680,14,,2003.192308,3/11/2003,149.4
681,14,,2003.211538,3/18/2003,146.4
682,14,,2003.230769,3/25/2003,145.9
683,14,,2003.25,4/1/2003,147.8
684,14,,2003.269231,4/8/2003,145.4
685,14,,2003.288462,4/15/2003,144.1
686,14,,2003.307692,4/22/2003,143.3
687,14,,2003.326923,4/29/2003,145.9
688,14,,2003.346154,5/6/2003,145.4
689,14,,2003.365385,5/13/2003,149.2
690,14,,2003.384615,5/20/2003,154.4
691,14,,2003.403846,5/27/2003,157.9
692,14,,2003.423077,6/3/2003,160.4
693,14,,2003.442308,6/10/2003,159.1
694,14,,2003.461538,6/17/2003,160.9
695,14,,2003.480769,6/24/2003,161.7
